source,target,status,rule,confidence
/en/coleccion/estados-unidos/miscelaneos/scrip-baraboo-jubileo-1933/5-centavos-john-ringling-a4895/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/5-cents-john-ringling-a4895/,301,existing,high
/en/coleccion/estados-unidos/mpc-vietnam/,/en/collection/united-states/mpc-vietnam/,301,existing,high
/en/coleccion/estados-unidos/mpc-vietnam/1-dolar-serie-681/,/en/collection/united-states/mpc-vietnam/1-dollar-series-681/,301,existing,high
/en/coleccion/estados-unidos/mpc-vietnam/10-dolares-serie-641/,/en/collection/united-states/mpc-vietnam/10-dollars-series-641/,301,existing,high
/en/coleccion/estados-unidos/mpc-vietnam/20-dolares-serie-692/,/en/collection/united-states/mpc-vietnam/20-dollars-series-692/,301,existing,high
/en/coleccion/estados-unidos/mpc-vietnam/5-dolares-serie-661/,/en/collection/united-states/mpc-vietnam/5-dollars-series-661/,301,existing,high
/en/coleccion/estados-unidos/renci,/en/collection/united-states/rency/,301,existing,high
/en/coleccion/estados-unidos/rency,/en/collection/united-states/rency/,301,existing,high
/en/coleccion/estados-unidos/rency/life-is-beautiful-life-spray/,/en/collection/united-states/rency/life-is-beautiful-life-spray/,301,existing,high
/en/coleccion/estados-unidos/rency/messi-you-have-to-fight-to-reach-your-dream/,/en/collection/united-states/rency/messi-you-have-to-fight-to-reach-your-dream/,301,existing,high
/en/coleccion/estados-unidos/rency/pele-the-beautiful-game/,/en/collection/united-states/rency/pele-the-beautiful-game/,301,existing,high
/en/coleccion/estados-unidos/rency/trump-never-surrender/,/en/collection/united-states/rency/trump-never-surrender/,301,existing,high
/en/coleccion/estados-unidos/rency/warhol-basquiat-life-is-beautiful/,/en/collection/united-states/rency/warhol-basquiat-life-is-beautiful/,301,existing,high
/en/coleccion/filipinas/,/en/collection/philippines/,301,existing,high
/en/coleccion/filipinas/1-peso/,/en/collection/philippines/1-peso/,301,existing,high
/en/coleccion/filipinas/2-pesos/,/en/collection/philippines/2-pesos/,301,existing,high
/en/coleccion/filipinas/20-pesos/,/en/collection/philippines/20-pesos/,301,existing,high
/en/coleccion/filipinas/5-pesos-banco-nacional-1916/,/en/collection/philippines/5-pesos-national-bank-1916/,301,existing,high
/en/coleccion/filipinas/5-pesos/,/en/collection/philippines/5-pesos/,301,existing,high
/en/coleccion/guatemala/,/en/collection/guatemala/,301,existing,high
/en/coleccion/lazarettos/,/en/collection/lazarettos/,301,existing,high
/en/coleccion/notafilia/,/en/collection/notaphily/,301,existing,high
/en/coleccion/notafilia/catalogo/,/en/collection/notaphily/catalog/,301,existing,high
/en/coleccion/numismatica/,/en/collection/numismatics/,301,existing,high
/en/coleccion/numismatica/colombia,/en/collection/colombia-numismatics/,301,existing,high
/en/coleccion/numismatica/paises-bajos,/en/collection/netherlands-numismatics/,301,existing,high
/en/coleccion/numismatica/paises-bajos/ducado-utrecht-1761,/en/collection/netherlands-numismatics/ducado-utrecht-1761/,301,existing,high
/en/coleccion/paises-bajos-numismatica/,/en/collection/netherlands-numismatics/,301,existing,high
/en/coleccion/paises-bajos-numismatica/ducado-utrecht-1761/,/en/collection/netherlands-numismatics/ducado-utrecht-1761/,301,existing,high
/en/coleccion/paises-bajos/,/en/collection/netherlands/,301,existing,high
/en/coleccion/polimero-mundial/,/en/collection/world-polymer/,301,existing,high
/en/coleccion/polimero-mundial/america-del-norte/,/en/collection/world-polymer/,301,hub-fallback,low
/en/coleccion/polimero-mundial/america-del-norte/canada,/en/collection/world-polymer/Canada/,301,existing,high
/en/coleccion/polimero-mundial/asia/,/en/collection/world-polymer/,301,hub-fallback,low
/en/coleccion/polimero-mundial/asia/malasia/,/en/collection/world-polymer/asia/malaysia/,301,existing,high
/en/coleccion/polimero-mundial/asia/malasia/5-ringgit-abdul-rahman/,/en/collection/world-polymer/asia/malaysia/5-ringgit-abdul-rahman/,301,existing,high
/en/coleccion/polimero-mundial/canada,/en/collection/world-polymer/Canada/,301,existing,high
/en/coleccion/polimero-mundial/Canada/5-dolares-laurier/,/en/collection/world-polymer/Canada/5-dollars-laurier/,301,existing,high
/en/coleccion/polimero-mundial/europa/,/en/collection/world-polymer/,301,hub-fallback,low
/en/coleccion/polimero-mundial/europa/inglaterra/,/en/collection/world-polymer/europe/england/,301,existing,high
/en/coleccion/polimero-mundial/europa/inglaterra/5-libras-churchill/,/en/collection/world-polymer/europe/england/5-pounds-churchill/,301,existing,high
/en/coleccion/puerto-rico/,/en/collection/puerto-rico/,301,existing,high
/en/coleccion/puerto-rico/billete-de-canje-1-peso-1895/,/en/collection/puerto-rico/1-peso-exchange-note-1895/,301,existing,high
/en/coleccion/puerto-rico/junta-central-1-peso-1869/,/en/collection/puerto-rico/central-board-1-peso-1869/,301,existing,high
/en/coleccion/puerto-rico/junta-central-cuba-1869/,/en/collection/puerto-rico/central-board-receipt-1869/,301,existing,high
/en/coleccion/united-states-numismatics/,/en/collection/united-states-numismatics/,301,existing,high
/en/coleccion/united-states-numismatics/1-dollar-trump-1776-2026/,/en/collection/united-states-numismatics/1-dollar-trump-1776-2026/,301,existing,high
/en/coleccion/united-states/,/en/collection/united-states/,301,existing,high
/en/coleccion/united-states/1-dollar-series-2003-atlanta/,/en/collection/united-states/1-dollar-series-2003-atlanta/,301,existing,high
/en/coleccion/united-states/1-dollar-silver-certificate-1957b/,/en/collection/united-states/1-dollar-silver-certificate-1957b/,301,existing,high
/en/coleccion/united-states/1-dollar-state-bank-new-brunswick/,/en/collection/united-states/1-dollar-state-bank-new-brunswick/,301,existing,high
/en/coleccion/united-states/10-dollars-series-1934-chicago/,/en/collection/united-states/10-dollars-series-1934-chicago/,301,existing,high
/en/coleccion/united-states/10-dollars-series-1934a-chicago/,/en/collection/united-states/10-dollars-series-1934a-chicago/,301,existing,high
/en/coleccion/united-states/10-dollars-series-1934a-cleveland/,/en/collection/united-states/10-dollars-series-1934a-cleveland/,301,existing,high
/en/coleccion/united-states/10-dollars-series-1934d-richmond/,/en/collection/united-states/10-dollars-series-1934d-richmond/,301,existing,high
/en/coleccion/united-states/20-dollars-confederate-1864/,/en/collection/united-states/20-dollars-confederate-1864/,301,existing,high
/en/coleccion/united-states/5-dollars-city-bank-new-haven/,/en/collection/united-states/5-dollars-city-bank-new-haven/,301,existing,high
/en/coleccion/united-states/5-dollars-confederate-1864/,/en/collection/united-states/5-dollars-confederate-1864/,301,existing,high
/en/coleccion/united-states/5-dollars-continental-1779/,/en/collection/united-states/5-dollars-continental-1779/,301,existing,high
/en/coleccion/united-states/500-dollars-series-1934a-new-york/,/en/collection/united-states/500-dollars-series-1934a-new-york/,301,existing,high
/en/coleccion/united-states/miscellaneous/,/en/collection/united-states/miscellaneous/,301,existing,high
/en/coleccion/united-states/miscellaneous/1-dollar-series-2006-dallas-wheres-george/,/en/collection/united-states/miscellaneous/1-dollar-series-2006-dallas-wheres-george/,301,existing,high
/en/coleccion/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/,301,existing,high
/en/coleccion/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/1-dollar-ringling-bros-a2002/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/1-dollar-ringling-bros-a2002/,301,existing,high
/en/coleccion/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/10-cents-chas-ringling-a2844/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/10-cents-chas-ringling-a2844/,301,existing,high
/en/coleccion/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/15-cents-al-t-ringling-a2819/,/en/collection/united-states/miscellaneous/baraboo-golden-jubilee-scrip-1933/15-cents-al-t-ringling-a2819/,301,existing,high
